,date,state,cases,deaths
489,8/2/2020,VI,421,8
490,8/2/2020,VA,91613,2215
491,8/2/2020,WA,60161,1680
492,8/2/2020,WV,6854,117
493,8/2/2020,WI,58990,956
494,8/2/2020,WY,2808,26
495,8/3/2020,AL,92661,1633
496,8/3/2020,AK,4062,23
497,8/3/2020,AZ,179506,3785
498,8/3/2020,AR,44597,475
499,8/3/2020,CA,522235,9500
500,8/3/2020,CO,48119,1849
501,8/3/2020,CT,50062,4437
502,8/3/2020,DE,15055,585
503,8/3/2020,DC,12313,586
504,8/3/2020,FL,491876,7156
505,8/3/2020,GA,179510,3760
506,8/3/2020,GU,1337,6
507,8/3/2020,HI,2425,25
508,8/3/2020,ID,21838,202
509,8/3/2020,IL,185238,7728
510,8/3/2020,IN,70111,2980
511,8/3/2020,IA,45905,884
512,8/3/2020,KS,29200,366
513,8/3/2020,KY,32500,762
514,8/3/2020,LA,120960,4024
515,8/3/2020,ME,3970,124
516,8/3/2020,MD,91705,3523
517,8/3/2020,MA,118657,8648
518,8/3/2020,MI,92503,6470
519,8/3/2020,MN,56600,1656
520,8/3/2020,MS,61125,1711
521,8/3/2020,MO,53650,1316
522,8/3/2020,MT,4249,64
523,8/3/2020,NE,26956,334
524,8/3/2020,NV,51236,847
525,8/3/2020,NH,6660,417
526,8/3/2020,NJ,184489,15846
527,8/3/2020,NM,21130,655
528,8/3/2020,NY,421550,32413
529,8/3/2020,NC,126748,2013
530,8/3/2020,ND,6789,109
531,8/3/2020,MP,46,2
532,8/3/2020,OH,93963,3539
533,8/3/2020,OK,38586,551
534,8/3/2020,OR,19395,334
535,8/3/2020,PA,118937,7276
536,8/3/2020,PR,18791,230
537,8/3/2020,RI,19246,1010
538,8/3/2020,SC,92951,1793
539,8/3/2020,SD,9020,135
540,8/3/2020,TN,107900,1078
541,8/3/2020,TX,462007,7695
542,8/3/2020,UT,41571,317
543,8/3/2020,VT,1427,57
544,8/3/2020,VI,439,8
545,8/3/2020,VA,92935,2215
546,8/3/2020,WA,61012,1685
547,8/3/2020,WV,6973,117
548,8/3/2020,WI,59471,960
549,8/3/2020,WY,2848,27
550,8/4/2020,AL,93702,1666
551,8/4/2020,AK,4123,23
552,8/4/2020,AZ,180537,3850
553,8/4/2020,AR,45381,490
554,8/4/2020,CA,527258,9696
555,8/4/2020,CO,48492,1855
556,8/4/2020,CT,50110,4437
557,8/4/2020,DE,15137,587
558,8/4/2020,DC,12398,587
559,8/4/2020,FL,497322,7401
560,8/4/2020,GA,182462,3835
561,8/4/2020,GU,1344,6
562,8/4/2020,HI,2568,26
563,8/4/2020,ID,22357,214
564,8/4/2020,IL,186598,7747
565,8/4/2020,IN,70944,2996
566,8/4/2020,IA,46231,888
567,8/4/2020,KS,29259,367
568,8/4/2020,KY,33209,769
569,8/4/2020,LA,124575,4051
570,8/4/2020,ME,3975,123
571,8/4/2020,MD,92416,3530
572,8/4/2020,MA,119203,8657
573,8/4/2020,MI,93293,6474
574,8/4/2020,MN,57202,1660
575,8/4/2020,MS,62199,1753
576,8/4/2020,MO,54854,1330
577,8/4/2020,MT,4360,64
578,8/4/2020,NE,27178,339
579,8/4/2020,NV,52256,862
580,8/4/2020,NH,6693,418
581,8/4/2020,NJ,184845,15857
582,8/4/2020,NM,21340,658
583,8/4/2020,NY,422296,32422
584,8/4/2020,NC,128236,2038
585,8/4/2020,ND,6937,111
586,8/4/2020,MP,46,2
587,8/4/2020,OH,95106,3570
588,8/4/2020,OK,39452,566
589,8/4/2020,OR,19700,336
590,8/4/2020,PA,119765,7296
591,8/4/2020,PR,19324,237
592,8/4/2020,RI,19390,1011
593,8/4/2020,SC,94190,1847
594,8/4/2020,SD,9079,136
595,8/4/2020,TN,109652,1103
596,8/4/2020,TX,471427,7948
597,8/4/2020,UT,42018,324
598,8/4/2020,VT,1431,57
599,8/4/2020,VI,463,8
600,8/4/2020,VA,94078,2241
601,8/4/2020,WA,61829,1706
