date,state,cases,deaths
8/1/2020,Arkansas,43173,458
8/1/2020,California,509507,9365
8/1/2020,Colorado,47357,1846
8/1/2020,Connecticut,49810,4432
8/1/2020,Delaware,14877,585
8/1/2020,District of Columbia,12205,585
8/1/2020,Florida,480020,7021
8/1/2020,Georgia,174834,3744
8/1/2020,Guam,1328,6
8/1/2020,Hawaii,2174,25
8/1/2020,Idaho,21231,197
8/1/2020,Illinois,182232,7707
8/1/2020,Indiana,68773,2971
8/1/2020,Iowa,45293,874
8/1/2020,Kansas,28147,358
8/1/2020,Kentucky,31612,758
8/1/2020,Louisiana,116394,3949
8/1/2020,Maine,3937,123
8/1/2020,Maryland,89925,3506
8/1/2020,Massachusetts,118040,8626
8/1/2020,Michigan,91450,6460
8/1/2020,Minnesota,55228,1646
8/1/2020,Mississippi,59881,1693
8/1/2020,Missouri,51985,1311
8/1/2020,Montana,4081,61
8/1/2020,Nebraska,26391,338
8/1/2020,Nevada,49207,832
8/1/2020,New Hampshire,6613,416
8/1/2020,New Jersey,183904,15830
8/1/2020,New Mexico,20796,651
8/1/2020,New York,420477,32390
8/1/2020,North Carolina,124015,1989
8/1/2020,North Dakota,6606,107
8/1/2020,Northern Mariana Islands,44,2
8/1/2020,Ohio,92087,3515
8/1/2020,Oklahoma,37706,549
8/1/2020,Oregon,18817,329
8/1/2020,Pennsylvania,117468,7270
8/1/2020,Puerto Rico,17872,225
8/1/2020,Rhode Island,19022,1007
8/1/2020,South Carolina,90599,1751
8/1/2020,South Dakota,8867,134
8/1/2020,Tennessee,105455,1056
8/1/2020,Texas,448224,7477
8/1/2020,Utah,40754,312
8/1/2020,Vermont,1421,57
8/1/2020,Virgin Islands,421,8
8/1/2020,Virginia,90633,2212
8/1/2020,Washington,59649,1676
8/1/2020,West Virginia,6735,116
8/1/2020,Wisconsin,58064,955
8/1/2020,Wyoming,2769,26
8/2/2020,Alabama,91444,1627
8/2/2020,Alaska,3982,22
8/2/2020,Arizona,178473,3769
8/2/2020,Arkansas,43810,464
8/2/2020,California,515937,9399
8/2/2020,Colorado,47799,1846
8/2/2020,Connecticut,49810,4432
8/2/2020,Delaware,14949,585
8/2/2020,District of Columbia,12274,586
8/2/2020,Florida,487124,7083
8/2/2020,Georgia,177556,3758
8/2/2020,Guam,1328,6
8/2/2020,Hawaii,2219,25
8/2/2020,Idaho,21465,197
8/2/2020,Illinois,183714,7718
8/2/2020,Indiana,69531,2975
8/2/2020,Iowa,45723,878
8/2/2020,Kansas,28341,361
8/2/2020,Kentucky,31966,759
8/2/2020,Louisiana,119861,4007
8/2/2020,Maine,3958,123
8/2/2020,Maryland,90835,3515
8/2/2020,Massachusetts,118458,8638
8/2/2020,Michigan,91857,6460
8/2/2020,Minnesota,55987,1654
8/2/2020,Mississippi,60553,1703
8/2/2020,Missouri,52550,1311
8/2/2020,Montana,4193,61
8/2/2020,Nebraska,26702,338
8/2/2020,Nevada,50270,833
8/2/2020,New Hampshire,6634,417
8/2/2020,New Jersey,184225,15836
8/2/2020,New Mexico,21016,654
8/2/2020,New York,421008,32401
8/2/2020,North Carolina,125281,1996
8/2/2020,North Dakota,6664,109
8/2/2020,Northern Mariana Islands,45,2
8/2/2020,Ohio,93031,3529
8/2/2020,Oklahoma,38201,550
8/2/2020,Oregon,19097,331
8/2/2020,Pennsylvania,118038,7274
8/2/2020,Puerto Rico,18411,230
8/2/2020,Rhode Island,19022,1007
8/2/2020,South Carolina,91788,1777
8/2/2020,South Dakota,8955,135
8/2/2020,Tennessee,106804,1062
8/2/2020,Texas,453291,7518
8/2/2020,Utah,41175,313
8/2/2020,Vermont,1426,57
8/2/2020,Virgin Islands,421,8
8/2/2020,Virginia,91613,2215
8/2/2020,Washington,60161,1680
8/2/2020,West Virginia,6854,117
8/2/2020,Wisconsin,58990,956
8/2/2020,Wyoming,2808,26
8/3/2020,Alabama,92661,1633
8/3/2020,Alaska,4062,23
8/3/2020,Arizona,179506,3785
8/3/2020,Arkansas,44597,475
8/3/2020,California,522235,9500
8/3/2020,Colorado,48119,1849
8/3/2020,Connecticut,50062,4437
8/3/2020,Delaware,15055,585
8/3/2020,District of Columbia,12313,586
8/3/2020,Florida,491876,7156
8/3/2020,Georgia,179510,3760
8/3/2020,Guam,1337,6
8/3/2020,Hawaii,2425,25
8/3/2020,Idaho,21838,202
8/3/2020,Illinois,185238,7728
8/3/2020,Indiana,70111,2980
8/3/2020,Iowa,45905,884
8/3/2020,Kansas,29200,366
8/3/2020,Kentucky,32500,762
8/3/2020,Louisiana,120960,4024
8/3/2020,Maine,3970,124
8/3/2020,Maryland,91705,3523
8/3/2020,Massachusetts,118657,8648
8/3/2020,Michigan,92503,6470
8/3/2020,Minnesota,56600,1656
8/3/2020,Mississippi,61125,1711
8/3/2020,Missouri,53650,1316
8/3/2020,Montana,4249,64
8/3/2020,Nebraska,26956,334
8/3/2020,Nevada,51236,847
8/3/2020,New Hampshire,6660,417
8/3/2020,New Jersey,184489,15846
8/3/2020,New Mexico,21130,655
8/3/2020,New York,421550,32413
8/3/2020,North Carolina,126748,2013
8/3/2020,North Dakota,6789,109
8/3/2020,Northern Mariana Islands,46,2
8/3/2020,Ohio,93963,3539
8/3/2020,Oklahoma,38586,551
8/3/2020,Oregon,19395,334
8/3/2020,Pennsylvania,118937,7276
8/3/2020,Puerto Rico,18791,230
8/3/2020,Rhode Island,19246,1010
8/3/2020,South Carolina,92951,1793
8/3/2020,South Dakota,9020,135
8/3/2020,Tennessee,107900,1078
8/3/2020,Texas,462007,7695
8/3/2020,Utah,41571,317
8/3/2020,Vermont,1427,57
8/3/2020,Virgin Islands,439,8
8/3/2020,Virginia,92935,2215
8/3/2020,Washington,61012,1685
8/3/2020,West Virginia,6973,117
8/3/2020,Wisconsin,59471,960
8/3/2020,Wyoming,2848,27
8/4/2020,Alabama,93702,1666
8/4/2020,Alaska,4123,23
8/4/2020,Arizona,180537,3850
8/4/2020,Arkansas,45381,490
8/4/2020,California,527258,9696
8/4/2020,Colorado,48492,1855
8/4/2020,Connecticut,50110,4437
8/4/2020,Delaware,15137,587
8/4/2020,District of Columbia,12398,587
8/4/2020,Florida,497322,7401
8/4/2020,Georgia,182462,3835
8/4/2020,Guam,1344,6
8/4/2020,Hawaii,2568,26
8/4/2020,Idaho,22357,214
8/4/2020,Illinois,186598,7747
8/4/2020,Indiana,70944,2996
8/4/2020,Iowa,46231,888
8/4/2020,Kansas,29259,367
8/4/2020,Kentucky,33209,769
8/4/2020,Louisiana,124575,4051
8/4/2020,Maine,3975,123
8/4/2020,Maryland,92416,3530
8/4/2020,Massachusetts,119203,8657
8/4/2020,Michigan,93293,6474
8/4/2020,Minnesota,57202,1660
8/4/2020,Mississippi,62199,1753
8/4/2020,Missouri,54854,1330
8/4/2020,Montana,4360,64
8/4/2020,Nebraska,27178,339
8/4/2020,Nevada,52256,862
8/4/2020,New Hampshire,6693,418
8/4/2020,New Jersey,184845,15857
8/4/2020,New Mexico,21340,658
8/4/2020,New York,422296,32422
8/4/2020,North Carolina,128236,2038
8/4/2020,North Dakota,6937,111
8/4/2020,Northern Mariana Islands,46,2
8/4/2020,Ohio,95106,3570
8/4/2020,Oklahoma,39452,566
8/4/2020,Oregon,19700,336
8/4/2020,Pennsylvania,119765,7296
8/4/2020,Puerto Rico,19324,237
8/4/2020,Rhode Island,19390,1011
8/4/2020,South Carolina,94190,1847
8/4/2020,South Dakota,9079,136
8/4/2020,Tennessee,109652,1103
8/4/2020,Texas,471427,7948
8/4/2020,Utah,42018,324
8/4/2020,Vermont,1431,57
8/4/2020,Virgin Islands,463,8
8/4/2020,Virginia,94078,2241
8/4/2020,Washington,61829,1706
8/4/2020,West Virginia,7051,124
8/4/2020,Wisconsin,60263,970
8/4/2020,Wyoming,2884,27
8/5/2020,Alabama,94654,1695
8/5/2020,Alaska,4181,23
8/5/2020,Arizona,182230,3933
8/5/2020,Arkansas,46293,508
8/5/2020,California,532776,9866
8/5/2020,Colorado,49143,1857
8/5/2020,Connecticut,50225,4437
8/5/2020,Delaware,15296,587
8/5/2020,District of Columbia,12443,587
8/5/2020,Florida,502731,7626
8/5/2020,Georgia,186395,3899
8/5/2020,Guam,1358,6
8/5/2020,Hawaii,2740,26
8/5/2020,Idaho,22854,218
8/5/2020,Illinois,188474,7776
8/5/2020,Indiana,71685,3007
8/5/2020,Iowa,46836,900
8/5/2020,Kansas,30047,371
8/5/2020,Kentucky,33823,771
8/5/2020,Louisiana,126061,4096
8/5/2020,Maine,3992,124
8/5/2020,Maryland,93000,3536
8/5/2020,Massachusetts,119643,8659
8/5/2020,Michigan,94045,6480
8/5/2020,Minnesota,57820,1670
8/5/2020,Mississippi,63444,1804
8/5/2020,Missouri,55919,1337
8/5/2020,Montana,4481,65
8/5/2020,Nebraska,27489,342
8/5/2020,Nevada,52919,891
8/5/2020,New Hampshire,6719,418
8/5/2020,New Jersey,185180,15842
8/5/2020,New Mexico,21566,667
8/5/2020,New York,422935,32431
8/5/2020,North Carolina,129454,2079
8/5/2020,North Dakota,7061,112
8/5/2020,Northern Mariana Islands,46,2
8/5/2020,Ohio,96305,3596
8/5/2020,Oklahoma,40555,583
8/5/2020,Oregon,19979,342
8/5/2020,Pennsylvania,120492,7310
8/5/2020,Puerto Rico,19651,246
8/5/2020,Rhode Island,19481,1012
8/5/2020,South Carolina,95472,1894
8/5/2020,South Dakota,9168,137
8/5/2020,Tennessee,111305,1130
8/5/2020,Texas,480789,8149
8/5/2020,Utah,42478,330
8/5/2020,Vermont,1436,57
8/5/2020,Virgin Islands,501,9
8/5/2020,Virginia,94870,2270
8/5/2020,Washington,62390,1705
8/5/2020,West Virginia,7159,124
8/5/2020,Wisconsin,61247,979
8/5/2020,Wyoming,2923,27
8/6/2020,Alabama,96592,1714
8/6/2020,Alaska,4221,23
8/6/2020,Arizona,183744,4005
8/6/2020,Arkansas,47028,515
8/6/2020,California,541013,10014
8/6/2020,Colorado,49633,1857
8/6/2020,Connecticut,50245,4437
8/6/2020,Delaware,15365,587
8/6/2020,District of Columbia,12518,587
8/6/2020,Florida,510381,7746
8/6/2020,Georgia,189300,3942
8/6/2020,Guam,1366,6
8/6/2020,Hawaii,2891,28
8/6/2020,Idaho,23510,227
8/6/2020,Illinois,190465,7796
8/6/2020,Indiana,72741,3013
8/6/2020,Iowa,47559,912
8/6/2020,Kansas,30153,376
8/6/2020,Kentucky,34435,780
8/6/2020,Louisiana,127364,4146
8/6/2020,Maine,3997,124
8/6/2020,Maryland,93598,3551
8/6/2020,Massachusetts,119874,8691
8/6/2020,Michigan,94819,6508
8/6/2020,Minnesota,58681,1677
8/6/2020,Mississippi,64400,1825
8/6/2020,Missouri,57145,1349
8/6/2020,Montana,4621,66
8/6/2020,Nebraska,27821,347
8/6/2020,Nevada,53705,901
8/6/2020,New Hampshire,6742,419
8/6/2020,New Jersey,185554,15849
8/6/2020,New Mexico,21773,669
8/6/2020,New York,423629,32329
8/6/2020,North Carolina,131478,2122
8/6/2020,North Dakota,7181,113
8/6/2020,Northern Mariana Islands,47,2
8/6/2020,Ohio,97471,3618
8/6/2020,Oklahoma,41395,593
8/6/2020,Oregon,20250,343
8/6/2020,Pennsylvania,121294,7340
8/6/2020,Puerto Rico,19934,258
8/6/2020,Rhode Island,19611,1014
8/6/2020,South Carolina,96797,1943
8/6/2020,South Dakota,9273,141
8/6/2020,Tennessee,113519,1170
8/6/2020,Texas,488240,8397
8/6/2020,Utah,43032,332
8/6/2020,Vermont,1445,58
8/6/2020,Virgin Islands,522,9
8/6/2020,Virginia,95867,2299
8/6/2020,Washington,63057,1716
8/6/2020,West Virginia,7277,124
